"Symbol","Synonym Symbol","Scientific Name with Author","National Common Name","Family"
"ACARO2","","Acarospora A. Massal.","cracked lichen","Acarosporaceae"
"ACER","","Acer L.","maple","Aceraceae"
"ACGL","","Acer glabrum Torr.","Rocky Mountain maple","Aceraceae"
"ACGLD4","","Acer glabrum Torr. var. douglasii (Hook.) Dippel","Douglas maple","Aceraceae"
"ACGLD4","ACDO","Acer douglasii Hook.","","Aceraceae"
"ACGLD4","ACGLD2","Acer glabrum Torr. ssp. douglasii (Hook.) Wesmael","","Aceraceae"
"ACNE2","","Acer negundo L.","boxelder","Aceraceae"
"ACNEN","","Acer negundo L. var. negundo","boxelder","Aceraceae"
"ACNEN","ACNEV2","Acer negundo L. var. variegatum Jacques","","Aceraceae"
"ACNEN","NEAC","Negundo aceroides (L.) Moench","","Aceraceae"
"ACNEN","NENE","Negundo negundo (L.) Karst., nom. inval.","","Aceraceae"
"ACAM","","Acorus americanus (Raf.) Raf.","sweetflag","Acoraceae"
"ACAM","ACCA10","Acorus calamus auct. non L.","","Acoraceae"
"ACAM","ACCAA2","Acorus calamus L. var. americanus (Raf.) H.D. Wulff.","","Acoraceae"
"ACORU","","Acorus L.","sweetflag","Acoraceae"
"ADMO","","Adoxa moschatellina L.","muskroot","Adoxaceae"
"ADOXA","","Adoxa L.","adoxa","Adoxaceae"
"YUCCA","","Yucca L.","yucca","Agavaceae"
"YUGL","","Yucca glauca Nutt.","soapweed yucca","Agavaceae"
"YUGLG2","","Yucca glauca Nutt. var. glauca","soapweed yucca","Agavaceae"
"YUGLG2","YUAN","Yucca angustifolia Pursh","","Agavaceae"
"ALGR","","Alisma gramineum Lej.","narrowleaf water plantain","Alismataceae"
"ALGR","ALGE3","Alisma geyeri Torr.","","Alismataceae"
"ALGR","ALGRA","Alisma gramineum Lej. var. angustissimum (DC.) A.J. Hendricks","","Alismataceae"
"ALGR","ALGRG2","Alisma gramineum Lej. var. geyeri (Torr.) Lam.","","Alismataceae"
"ALGR","ALGRG3","Alisma gramineum Lej. var. graminifolium (Wahlenb.) A.J. Hendricks","","Alismataceae"
"ALGR","ALGRW","Alisma gramineum Lej. var. wahlenbergii auct. non (Holmb.) Raymond & Kucyniak","","Alismataceae"
"ALGR","ALLA5","Alisma lanceolatum A. Gray","","Alismataceae"
"ALISM","","Alisma L.","water plantain","Alismataceae"
"ALTR7","","Alisma triviale Pursh","northern water plantain","Alismataceae"
"ALTR7","ALBR10","Alisma brevipes Greene","","Alismataceae"
"ALTR7","ALPLB","Alisma plantago-aquatica L. ssp. brevipes (Greene) Sam.","","Alismataceae"
"ALTR7","ALPLA","Alisma plantago-aquatica L. var. americanum Schult.","","Alismataceae"
"ALTR7","ALPLB2","Alisma plantago-aquatica L. var. brevipes (Greene) Vict.","","Alismataceae"
"SACU","","Sagittaria cuneata Sheldon","arumleaf arrowhead","Alismataceae"
"SACU","SAAR26","Sagittaria arifolia Nutt. ex J.G. Sm.","","Alismataceae"
"SAGIT","","Sagittaria L.","arrowhead","Alismataceae"
"SALA2","","Sagittaria latifolia Willd.","broadleaf arrowhead","Alismataceae"
"SALA2","SACH15","Sagittaria chinensis Pursh","","Alismataceae"
"SALA2","SAENL3","Sagittaria engelmanniana J.G. Sm. ssp. longirostra (Micheli) Bogin","","Alismataceae"
"SALA2","SAES2","Sagittaria esculenta Howell","","Alismataceae"
"SALA2","SALAO","Sagittaria latifolia Willd. var. obtusa (Muhl. ex Willd.) Wiegand","","Alismataceae"
"SALA2","SALAP","Sagittaria latifolia Willd. var. pubescens (Muhl. ex Nutt.) J.G. Sm.","","Alismataceae"
"SALA2","SALO11","Sagittaria longirostra (Micheli) J.G. Sm.","","Alismataceae"
"SALA2","SAOB4","Sagittaria obtusa Muhl. ex Willd., non Thunb.","","Alismataceae"
"SALA2","SAOR8","Sagittaria ornithorhyncha Small","","Alismataceae"
"SALA2","SAPL5","Sagittaria planipes Fernald","","Alismataceae"
"SALA2","SAPU10","Sagittaria pubescens Muhl. ex Nutt.","","Alismataceae"
"SALA2","SAVAO2","Sagittaria variabilis Engelm. var. obtusa (Muhl. ex Willd.) Engelm.","","Alismataceae"
"SALA2","SAVI12","Sagittaria viscosa C. Mohr","","Alismataceae"
"AMAL","","Amaranthus albus L.","prostrate pigweed","Amaranthaceae"
"AMAL","AMALP3","Amaranthus albus L. var. pubescens (Uline & Bray) Fernald","","Amaranthaceae"
"AMAL","AMGRP","Amaranthus graecizans L. var. pubescens Uline & Bray","","Amaranthaceae"
"AMAL","AMPU","Amaranthus pubescens (Uline & Bray) Rydb.","","Amaranthaceae"
