Symbol,Synonym Symbol,Scientific Name with Author,National Common Name,Family
ACARO2,NULLVALUE,Acarospora A. Massal.,cracked lichen,Acarosporaceae
ACER,NULLVALUE,Acer L.,maple,Aceraceae
ACGL,NULLVALUE,Acer glabrum Torr.,Rocky Mountain maple,Aceraceae
ACGLD4,NULLVALUE,Acer glabrum Torr. var. douglasii (Hook.) Dippel,Douglas maple,Aceraceae
ACGLD4,ACDO,Acer douglasii Hook.,NULLVALUE,Aceraceae
ACGLD4,ACGLD2,Acer glabrum Torr. ssp. douglasii (Hook.) Wesmael,NULLVALUE,Aceraceae
ACNE2,NULLVALUE,Acer negundo L.,boxelder,Aceraceae
ACNEN,NULLVALUE,Acer negundo L. var. negundo,boxelder,Aceraceae
ACNEN,ACNEV2,Acer negundo L. var. variegatum Jacques,NULLVALUE,Aceraceae
ACNEN,NEAC,Negundo aceroides (L.) Moench,NULLVALUE,Aceraceae
ACNEN,NENE,"Negundo negundo (L.) Karst., nom. inval.",NULLVALUE,Aceraceae
ACAM,NULLVALUE,Acorus americanus (Raf.) Raf.,sweetflag,Acoraceae
ACAM,ACCA10,Acorus calamus auct. non L.,NULLVALUE,Acoraceae
ACAM,ACCAA2,Acorus calamus L. var. americanus (Raf.) H.D. Wulff.,NULLVALUE,Acoraceae
ACORU,NULLVALUE,Acorus L.,sweetflag,Acoraceae
ADMO,NULLVALUE,Adoxa moschatellina L.,muskroot,Adoxaceae
ADOXA,NULLVALUE,Adoxa L.,adoxa,Adoxaceae
YUCCA,NULLVALUE,Yucca L.,yucca,Agavaceae
YUGL,NULLVALUE,Yucca glauca Nutt.,soapweed yucca,Agavaceae
YUGLG2,NULLVALUE,Yucca glauca Nutt. var. glauca,soapweed yucca,Agavaceae
YUGLG2,YUAN,Yucca angustifolia Pursh,NULLVALUE,Agavaceae
ALGR,NULLVALUE,Alisma gramineum Lej.,narrowleaf water plantain,Alismataceae
ALGR,ALGE3,Alisma geyeri Torr.,NULLVALUE,Alismataceae
ALGR,ALGRA,Alisma gramineum Lej. var. angustissimum (DC.) A.J. Hendricks,NULLVALUE,Alismataceae
ALGR,ALGRG2,Alisma gramineum Lej. var. geyeri (Torr.) Lam.,NULLVALUE,Alismataceae
ALGR,ALGRG3,Alisma gramineum Lej. var. graminifolium (Wahlenb.) A.J. Hendricks,NULLVALUE,Alismataceae
ALGR,ALGRW,Alisma gramineum Lej. var. wahlenbergii auct. non (Holmb.) Raymond & Kucyniak,NULLVALUE,Alismataceae
ALGR,ALLA5,Alisma lanceolatum A. Gray,NULLVALUE,Alismataceae
ALISM,NULLVALUE,Alisma L.,water plantain,Alismataceae
ALTR7,NULLVALUE,Alisma triviale Pursh,northern water plantain,Alismataceae
ALTR7,ALBR10,Alisma brevipes Greene,NULLVALUE,Alismataceae
ALTR7,ALPLB,Alisma plantago-aquatica L. ssp. brevipes (Greene) Sam.,NULLVALUE,Alismataceae
ALTR7,ALPLA,Alisma plantago-aquatica L. var. americanum Schult.,NULLVALUE,Alismataceae
ALTR7,ALPLB2,Alisma plantago-aquatica L. var. brevipes (Greene) Vict.,NULLVALUE,Alismataceae
SACU,NULLVALUE,Sagittaria cuneata Sheldon,arumleaf arrowhead,Alismataceae
SACU,SAAR26,Sagittaria arifolia Nutt. ex J.G. Sm.,NULLVALUE,Alismataceae
SAGIT,NULLVALUE,Sagittaria L.,arrowhead,Alismataceae
