Symbol,Synonym Symbol,Scientific Name with Author,National Common Name,Family
0,0,0,0,0
1,0,1,1,1
2,0,2,2,1
3,0,3,3,1
3,1,4,4,1
3,2,5,4,1
4,0,6,5,1
5,0,7,5,1
5,3,8,4,1
5,4,9,4,1
5,5,10,4,1
6,0,11,6,2
6,6,12,4,2
6,7,13,4,2
7,0,14,6,2
8,0,15,7,3
9,0,16,8,3
10,0,17,9,4
11,0,18,10,4
12,0,19,10,4
12,8,20,4,4
13,0,21,11,5
13,9,22,4,5
13,10,23,4,5
13,11,24,4,5
13,12,25,4,5
13,13,26,4,5
13,14,27,4,5
14,0,28,12,5
15,0,29,13,5
15,15,30,4,5
15,16,31,4,5
15,17,32,4,5
15,18,33,4,5
16,0,34,14,5
16,19,35,4,5
17,0,36,15,5
18,0,37,16,5
18,20,38,4,5
18,21,39,4,5
18,22,40,4,5
18,23,41,4,5
18,24,42,4,5
18,25,43,4,5
18,26,44,4,5
18,27,45,4,5
18,28,46,4,5
18,29,47,4,5
18,30,48,4,5
18,31,49,4,5
19,0,50,17,6
19,32,51,4,6
19,33,52,4,6
19,34,53,4,6
20,0,54,18,6
21,0,55,19,6
21,35,56,4,6
22,0,57,20,6
22,36,58,4,6
22,37,59,4,6
23,0,60,21,6
24,0,61,21,6
24,38,62,4,6
24,39,63,4,6
24,40,64,4,6
25,0,65,22,6
25,41,66,4,6
26,0,67,23,7
26,42,68,4,7
26,43,69,4,7
26,44,70,4,7
26,45,71,4,7
27,0,72,24,7
28,0,73,24,7
28,46,74,4,7
28,47,75,4,7
28,48,76,4,7
28,49,77,4,7
28,50,78,4,7
29,0,79,25,7
30,0,80,26,7
30,51,81,4,7
30,52,82,4,7
30,53,83,4,7
30,54,84,4,7
30,55,85,4,7
30,56,86,4,7
30,57,87,4,7
31,0,88,27,7
32,0,89,28,8
32,58,90,4,8
33,0,91,29,8
34,0,92,30,8
35,0,93,31,8
36,0,94,32,8
37,0,95,30,8
38,0,96,33,8
39,0,97,34,8
39,59,98,4,8
40,0,99,35,8
41,0,100,36,8
41,60,101,4,8
42,0,102,37,8
43,0,103,38,8
44,0,104,39,8
45,0,105,40,8
46,0,106,40,8
46,61,107,4,8
47,0,108,41,8
47,62,109,4,8
48,0,110,42,8
48,63,111,4,8
49,0,112,43,8
50,0,113,44,8
51,0,114,44,8
52,0,115,45,8
53,0,116,45,8
54,0,117,46,8
55,0,118,47,8
56,0,119,48,8
57,0,120,49,8
58,0,121,50,8
58,64,122,4,8
59,0,123,51,8
59,65,124,4,8
59,66,125,4,8
59,67,126,4,8
60,0,127,52,8
61,0,128,53,8
61,68,129,4,8
61,69,130,4,8
62,0,131,54,8
63,0,132,55,8
63,70,133,4,8
63,71,134,4,8
64,0,135,56,8
65,0,136,56,8
65,72,137,4,8
65,73,138,4,8
66,0,139,57,8
66,74,140,4,8
66,75,141,4,8
66,76,142,4,8
66,77,143,4,8
66,78,144,4,8
67,0,145,58,8
68,0,146,59,8
68,79,147,4,8
69,0,148,60,8
70,0,149,61,8
71,0,150,62,8
72,0,151,62,8
72,80,152,4,8
73,0,153,62,8
74,0,154,63,8
74,81,155,4,8
75,0,156,64,8
75,82,157,4,8
75,83,158,4,8
75,84,159,4,8
76,0,160,65,8
77,0,161,66,8
77,85,162,4,8
77,86,163,4,8
77,87,164,4,8
77,88,165,4,8
77,89,166,4,8
78,0,167,67,8
78,90,168,4,8
78,91,169,4,8
78,92,170,4,8
79,0,171,68,8
79,93,172,4,8
79,94,173,4,8
79,95,174,4,8
79,96,175,4,8
79,97,176,4,8
80,0,177,69,8
81,0,178,70,8
81,98,179,4,8
81,99,180,4,8
82,0,181,71,8
82,100,182,4,8
82,101,183,4,8
82,102,184,4,8
83,0,185,72,8
83,103,186,4,8
84,0,187,73,8
85,0,188,74,8
86,0,189,75,8
86,104,190,4,8
86,105,191,4,8
86,106,192,4,8
87,0,193,76,8
88,0,194,77,8
88,107,195,4,8
89,0,196,78,8
90,0,197,79,8
90,108,198,4,8
90,109,199,4,8
90,110,200,4,8
91,0,201,80,8
92,0,202,81,8
92,111,203,4,8
92,112,204,4,8
93,0,205,82,8
94,0,206,83,9
94,113,207,4,9
94,114,208,4,9
94,115,209,4,9
94,116,210,4,9
94,117,211,4,9
94,118,212,4,9
94,119,213,4,9
94,120,214,4,9
94,121,215,4,9
94,122,216,4,9
94,123,217,4,9
94,124,218,4,9
95,0,219,84,9
95,125,220,4,9
95,126,221,4,9
95,127,222,4,9
95,128,223,4,9
95,129,224,4,9
95,130,225,4,9
95,131,226,4,9
95,132,227,4,9
95,133,228,4,9
95,134,229,4,9
95,135,230,4,9
95,136,231,4,9
95,137,232,4,9
95,138,233,4,9
95,139,234,4,9
96,0,235,4,9
96,140,236,4,9
96,141,237,4,9
96,142,238,4,9
96,143,239,4,9
96,144,240,4,9
96,145,241,4,9
96,146,242,4,9
96,147,243,4,9
97,0,244,85,9
98,0,245,86,10
99,0,246,87,10
100,0,247,88,11
101,0,248,89,11
102,0,249,90,11
102,148,250,4,11
102,149,251,4,11
103,0,252,91,11
104,0,253,92,12
105,0,254,93,12
106,0,255,94,12
106,150,256,4,12
107,0,257,95,12
107,151,258,4,12
107,152,259,4,12
107,153,260,4,12
107,154,261,4,12
107,155,262,4,12
108,0,263,96,13
109,0,264,97,13
109,156,265,4,13
110,0,266,98,13
111,0,267,98,13
112,0,268,99,14
113,0,269,100,14
114,0,270,101,14
115,0,271,102,14
115,157,272,4,14
115,158,273,4,14
115,159,274,4,14
115,160,275,4,14
115,161,276,4,14
115,162,277,4,14
115,163,278,4,14
116,0,279,101,14
116,164,280,4,14
117,0,281,101,14
117,165,282,4,14
118,0,283,103,14
118,166,284,4,14
118,167,285,4,14
118,168,286,4,14
